RIC,MarketCapUSDollar,Company
BWA.N,10947.81,BorgWarner
WBC.N,8033.41,Wabco
005380.KS,33583.041,Hyundai
6473.T,5106.863696,JTEKT
DAIGn.DE,86066.06,Daimler
PEUP.PA,20987.668800000003,Peugeot
NAV.N,4343.62,Navistar
0179.HK,3402.570302,Johnson Electric
PSHG_p.DE,9465.400000000001,Porsche
ZILGn.DE,1104.544,Elringklinger
6902.T,41933.186,DENSO
RENA.PA,28490.5936,Renault
BRBI.MI,3975.5408000000007,Brembo
7202.T,11782.3848,Isuzu
TKAG.DE,16290.904000000002,Thyssenkrupp
6503.T,29068.3844,Mitsubishi Electric
6752.T,36661.8712,Panasonic
F.N,40693.37,Ford
NSUG.DE,33603.64000000001,Audi
7201.T,30008.2748,Nissan
7272.T,10510.724,Yamaha Motor Corporation
VOWG_p.DE,81992.91520000002,Volkswagen
0175.HK,31426.781340000005,Geely
7282.T,3333.5087719999997,Toyoda Gosei
3116.T,4186.822572,Toyota Boshoku
TSLA.O,59558.64,Tesla
600104.SS,52908.5535,SAIC
7269.T,26797.0148,Suzuki
TAMO.NS,20221.05,Tata
7259.T,10166.276,Aisin Seiki
7203.T,206174.484,Toyota
MOD.N,999.95,Modine Manufacturing
OSK.N,6303.63,Oshkosh
SPTN.O,964.94,Spartan
BMWG.DE,64807.85920000001,BMW
8015.T,12231.2344,Toyota Tsusho
000270.KS,10905.287499999999,Kia
5108.T,38868.896,Bridgestone
5334.T,4792.715252,NGK Spark Plug
6201.T,19335.3824,Toyota Industries
PCAR.O,25748.87,Paccar
7267.T,56578.159999999996,Honda
GM.N,65472.37,General Motor
KNDI.O,441.8,Kandi Technologies
