fre_all_factor,fre_all,fre_tyt_factor,fre_tyt
TMC Net,731079,Reuters,1752
Reuters,601788,Yahoo! Finance,1509
Yahoo! Finance,556577,Individual.com,1507
Individual.com,483782,TMC Net,1400
CNBC,313444,CNBC,1083
Reuters UK,233258,Washington Post,819
Yahoo! UK and Ireland,223270,Sydney Morning Herald,790
Street Insider,202915,San Francisco Chronicle,778
San Francisco Chronicle,171264,Melbourne Age,753
PRWeb,161923,PRWeb,722
Seeking Alpha,158393,Reuters UK,689
MarketWatch,157326,IOL,595
Washington Post,155147,USA Today,510
Sys-Con India,118763,MarketWatch,496
PR Newswire,112925,Yahoo! UK and Ireland,485
Sympatico,110052,PR Newswire,471
Denver Post,108870,Yahoo!,457
TheStreet.com,102217,Denver Post,448
Yahoo!,100733,La Repubblica,442
Houston Chronicle,99776,Economic Times,425
